sep=\t
Module Resource Usage Distribution Estimates
Generated at: Dec 30, 2025 01:00:07

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	       FFs	      ADDs	      LUTs	      RAMs	 DSP/MULTs
   +TimerCountUpper:AddressableRegister(AddressValue=8)     	     8(0)	     0(0)	     2(2)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +TimerCountLower:AddressableRegister(AddressValue=9)     	     8(0)	     0(0)	     2(2)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +TimerPrescalerUpper:AddressableRegister(AddressValue=10)	     8(0)	     0(0)	     2(2)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +TimerPrescalerLower:AddressableRegister(AddressValue=11)	     8(0)	     0(0)	     2(2)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +PWMTimer:Timer                                          	   33(33)	   30(30)	 118(118)	     0(0)	     0(0)	
  +ThirdRegister:PWMRegister(StartAddress=12)               	    81(0)	    30(0)	   132(0)	     0(0)	     0(0)	
   +SwitchValueUpper:AddressableRegister(AddressValue=12)   	     8(0)	     0(0)	     2(2)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +SwitchValueLower:AddressableRegister(AddressValue=13)   	     8(0)	     0(0)	     2(2)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +TimerCountUpper:AddressableRegister(AddressValue=14)    	     8(0)	     0(0)	     2(2)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +TimerCountLower:AddressableRegister(AddressValue=15)    	     8(0)	     0(0)	     2(2)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +TimerPrescalerUpper:AddressableRegister(AddressValue=16)	     8(0)	     0(0)	     4(4)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +TimerPrescalerLower:AddressableRegister(AddressValue=17)	     8(0)	     0(0)	     2(2)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +PWMTimer:Timer                                          	   33(33)	   30(30)	 118(118)	     0(0)	     0(0)	
  +FourthRegister:PWMRegister(StartAddress=18)              	    81(0)	    30(0)	   129(0)	     0(0)	     0(0)	
   +SwitchValueUpper:AddressableRegister(AddressValue=18)   	     8(0)	     0(0)	     2(2)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +SwitchValueLower:AddressableRegister(AddressValue=19)   	     8(0)	     0(0)	     2(2)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +TimerCountUpper:AddressableRegister(AddressValue=20)    	     8(0)	     0(0)	     2(2)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +TimerCountLower:AddressableRegister(AddressValue=21)    	     8(0)	     0(0)	     2(2)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +TimerPrescalerUpper:AddressableRegister(AddressValue=22)	     8(0)	     0(0)	     3(3)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +TimerPrescalerLower:AddressableRegister(AddressValue=23)	     8(0)	     0(0)	     2(2)	     0(0)	     0(0)	
    +genblk3.Register:N_Bit_Register                        	     8(8)	     0(0)	     0(0)	     0(0)	     0(0)	
   +PWMTimer:Timer                                          	   33(33)	   30(30)	 116(116)	     0(0)	     0(0)	
